MovieID,Title,Genres,Year,imdb_id,id,production_countries,genres,original_language,original_title,title,overview,release_date,vote_average,director,writer,actors
1,Toy Story (1995),Animation|Children's|Comedy,1995,114709,862.0,United States of America,Animation|Comedy|Family,English,Toy Story,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995-10-30,7.7,John Lasseter,Joss Whedon,Tom Hanks|Tim Allen|Don Rickles|Jim Varney
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,113497,8844.0,United States of America,Adventure|Fantasy|Family,English,Jumanji,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1995-12-15,6.9,Joe Johnston,Jonathan Hensleigh,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce
3,Grumpier Old Men (1995),Comedy|Romance,1995,113228,15602.0,United States of America,Romance|Comedy,English,Grumpier Old Men,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",1995-12-22,6.5,Howard Deutch,,Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren
4,Waiting to Exhale (1995),Comedy|Drama,1995,114885,31357.0,United States of America,Comedy|Drama|Romance,English,Waiting to Exhale,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",1995-12-22,6.1,Forest Whitaker,Ronald Bass,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon
5,Father of the Bride Part II (1995),Comedy,1995,113041,11862.0,United States of America,Comedy,English,Father of the Bride Part II,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",1995-02-10,5.7,Charles Shyer,Nancy Meyers,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley
6,Heat (1995),Action|Crime|Thriller,1995,113277,949.0,United States of America,Action|Crime|Drama|Thriller,English,Heat,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",1995-12-15,7.7,Michael Mann,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight
7,Sabrina (1995),Comedy|Romance,1995,114319,11860.0,Germany|United States of America,Comedy|Romance,English,Sabrina,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",1995-12-15,6.2,Sydney Pollack,Barbara Benedek,Harrison Ford|Julia Ormond|Greg Kinnear|Angie Dickinson
8,Tom and Huck (1995),Adventure|Children's,1995,112302,45325.0,United States of America,Action|Adventure|Drama|Family,English,Tom and Huck,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",1995-12-22,5.4,Peter Hewitt,David Loughery,Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook|Michael McShane
9,Sudden Death (1995),Action,1995,114576,9091.0,United States of America,Action|Adventure|Thriller,English,Sudden Death,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",1995-12-22,5.5,Peter Hyams,Karen Elise Baldwin,Jean-Claude Van Damme|Powers Boothe|Dorian Harewood|Raymond J. Barry
10,GoldenEye (1995),Action|Adventure|Thriller,1995,113189,710.0,United Kingdom|United States of America,Adventure|Action|Thriller,English,GoldenEye,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,1995-11-16,6.6,Martin Campbell,Jeffrey Caine,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen
